City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Yegorlykskaya,RU,2021-07-09 21:46:27,46.5656,40.6562,71.11,76,52,10.13,broken clouds
129,Hirara,JP,2021-07-09 21:46:27,24.8,125.2833,80.87,89,40,4.61,scattered clouds
130,Bengkulu,ID,2021-07-09 21:46:27,-3.8004,102.2655,74.3,90,90,4.12,light rain
131,Moerai,PF,2021-07-09 21:46:27,-22.4333,-151.3333,76.8,79,0,7.99,clear sky
132,Eyl,SO,2021-07-09 21:46:28,7.9803,49.8164,78.39,69,54,27.56,broken clouds
133,Ahipara,NZ,2021-07-09 21:46:28,-35.1667,173.1667,56.84,65,99,7.2,overcast clouds
134,Virginia Beach,US,2021-07-09 21:41:43,36.8529,-75.978,93.02,68,75,6.91,thunderstorm
135,Lumphat,KH,2021-07-09 21:46:29,13.4878,106.9816,72.12,98,96,2.33,overcast clouds
136,Lewistown,US,2021-07-09 21:46:29,40.5992,-77.5714,83.35,88,40,0.0,scattered clouds
137,Chuy,UY,2021-07-09 21:46:29,-33.6971,-53.4616,57.6,96,3,6.69,clear sky
138,New Norfolk,AU,2021-07-09 21:46:30,-42.7826,147.0587,34.72,89,30,2.37,scattered clouds
139,Banff,CA,2021-07-09 21:45:11,51.1762,-115.5698,85.53,16,69,4.61,broken clouds
140,Bonavista,CA,2021-07-09 21:46:30,48.6499,-53.1147,59.11,72,65,16.53,broken clouds
141,Constitucion,CL,2021-07-09 21:41:45,-35.3333,-72.4167,52.47,85,9,5.95,clear sky
142,Sao Joao Da Barra,BR,2021-07-09 21:44:25,-21.6403,-41.0511,73.49,87,2,11.16,clear sky
143,San Patricio,US,2021-07-09 21:46:31,28.017,-97.5169,90.01,73,92,11.45,overcast clouds
144,Carnarvon,AU,2021-07-09 21:46:31,-24.8667,113.6333,59.07,76,90,11.5,overcast clouds
145,Maniitsoq,GL,2021-07-09 21:46:31,65.4167,-52.9,45.88,68,46,3.02,scattered clouds
146,Kichera,RU,2021-07-09 21:46:32,55.9375,110.0997,55.24,72,58,1.25,broken clouds
147,Luderitz,NA,2021-07-09 21:46:32,-26.6481,15.1594,54.1,72,0,14.0,clear sky
148,Kavieng,PG,2021-07-09 21:46:32,-2.5744,150.7967,82.58,75,64,11.1,broken clouds
149,Pachino,IT,2021-07-09 21:46:33,36.7186,15.0907,85.6,81,0,4.99,clear sky
150,Geraldton,AU,2021-07-09 21:46:33,-28.7667,114.6,59.41,67,75,12.66,broken clouds
151,Byron Bay,AU,2021-07-09 21:46:34,-28.65,153.6167,57.7,66,1,15.23,clear sky
152,Osakarovka,KZ,2021-07-09 21:46:34,50.565,72.5692,58.01,74,85,18.19,overcast clouds
153,Tiksi,RU,2021-07-09 21:46:34,71.6872,128.8694,42.48,61,12,11.61,few clouds
154,Pangnirtung,CA,2021-07-09 21:46:35,66.1451,-65.7125,44.6,76,90,19.57,overcast clouds
155,Uchana,IN,2021-07-09 21:46:35,29.4667,76.1667,91.87,44,17,8.68,few clouds
156,Flin Flon,CA,2021-07-09 21:45:11,54.7682,-101.865,91.24,31,40,10.36,scattered clouds
157,Bogorodskoye,RU,2021-07-09 21:46:35,56.55,37.8833,72.46,64,84,5.37,broken clouds
158,Khatanga,RU,2021-07-09 21:46:36,71.9667,102.5,48.18,84,100,20.13,moderate rain
159,Boa Vista,BR,2021-07-09 21:46:36,2.8197,-60.6733,84.18,65,40,4.61,scattered clouds
160,Mao,ES,2021-07-09 21:43:29,39.8885,4.2658,72.16,68,0,2.3,clear sky
161,Cuiluan,CN,2021-07-09 21:46:37,47.72,128.648,67.41,94,85,1.81,overcast clouds
162,Buchanan,LR,2021-07-09 21:46:37,5.8808,-10.0467,78.76,88,70,7.43,light rain
163,Najran,SA,2021-07-09 21:46:37,17.4924,44.1277,88.45,15,100,4.36,overcast clouds
164,Hanumangarh,IN,2021-07-09 21:46:38,29.5833,74.3167,97.7,37,10,7.96,clear sky
165,Tadine,NC,2021-07-09 21:46:38,-21.55,167.8833,71.94,62,58,6.08,broken clouds
166,Codrington,AU,2021-07-09 21:46:38,-38.2667,141.9667,38.64,86,0,5.48,clear sky
167,Manitouwadge,CA,2021-07-09 21:46:39,49.1215,-85.8403,62.38,37,50,12.41,scattered clouds
168,Kanungu,UG,2021-07-09 21:46:39,-0.9575,29.7897,60.93,87,89,3.27,overcast clouds
169,Mayo,US,2021-07-09 21:46:39,38.8876,-76.5119,87.78,89,90,1.99,mist
170,Lebu,CL,2021-07-09 21:46:39,-37.6167,-73.65,49.78,72,24,9.24,few clouds
171,Meridian,US,2021-07-09 21:41:43,43.6121,-116.3915,94.15,11,1,1.99,clear sky
172,Hithadhoo,MV,2021-07-09 21:46:40,-0.6,73.0833,82.22,76,100,15.7,overcast clouds
173,Taltal,CL,2021-07-09 21:46:40,-25.4,-70.4833,60.39,82,39,1.81,scattered clouds
174,Dum Duma,IN,2021-07-09 21:46:40,27.5667,95.5667,76.51,97,100,2.42,overcast clouds
175,Kailua,US,2021-07-09 21:46:41,21.4022,-157.7394,84.18,67,35,10.11,scattered clouds
176,Little Current,CA,2021-07-09 21:43:03,45.9793,-81.9248,73.49,59,67,5.82,broken clouds
177,Nouakchott,MR,2021-07-09 21:46:41,18.0858,-15.9785,75.13,77,8,14.52,clear sky
178,Georgetown,MY,2021-07-09 21:42:47,5.4112,100.3354,76.98,90,40,0.0,scattered clouds
179,Makakilo City,US,2021-07-09 21:46:42,21.3469,-158.0858,82.72,53,1,17.27,clear sky
180,Rio Gallegos,AR,2021-07-09 21:46:42,-51.6226,-69.2181,35.65,87,0,9.22,light rain
181,Vestmannaeyjar,IS,2021-07-09 21:46:43,63.4427,-20.2734,52.79,93,90,17.27,overcast clouds
182,Turinskaya Sloboda,RU,2021-07-09 21:46:43,57.6232,64.3858,64.45,69,64,6.13,broken clouds
183,Kaspiysk,RU,2021-07-09 21:46:43,42.8816,47.6392,73.58,46,100,15.99,overcast clouds
184,Nanakuli,US,2021-07-09 21:46:44,21.3906,-158.1547,84.15,52,1,17.27,clear sky
185,Mar Del Plata,AR,2021-07-09 21:44:45,-38.0023,-57.5575,63.0,88,0,6.91,clear sky
186,Severouralsk,RU,2021-07-09 21:46:44,60.1533,59.952,62.4,96,95,3.13,overcast clouds
187,Isangel,VU,2021-07-09 21:46:44,-19.55,169.2667,75.31,73,20,5.75,few clouds
188,Oranjemund,NA,2021-07-09 21:46:45,-28.55,16.4333,53.42,79,0,10.74,clear sky
189,Sioux Lookout,CA,2021-07-09 21:46:45,50.1001,-91.917,77.38,36,40,4.61,scattered clouds
190,Sidhauli,IN,2021-07-09 21:46:45,27.2833,80.8333,82.29,68,42,7.58,scattered clouds
191,Karratha,AU,2021-07-09 21:46:46,-20.7377,116.8463,63.57,56,2,8.5,clear sky
192,Mae Sai,TH,2021-07-09 21:46:46,20.4335,99.8762,72.72,99,16,1.07,few clouds
193,Lagoa,PT,2021-07-09 21:46:47,39.05,-27.9833,69.26,85,0,13.04,clear sky
194,Hofn,IS,2021-07-09 21:46:47,64.2539,-15.2082,52.5,90,53,14.09,broken clouds
195,Adeje,ES,2021-07-09 21:46:47,28.1227,-16.726,69.1,74,20,5.01,few clouds
196,Svetlogorsk,BY,2021-07-09 21:46:48,52.6333,29.7333,64.96,70,0,5.37,clear sky
197,Vardo,NO,2021-07-09 21:46:48,70.3705,31.1107,55.15,88,85,9.98,overcast clouds
198,Namibe,AO,2021-07-09 21:46:48,-15.1961,12.1522,65.75,85,20,3.98,few clouds
199,Belyy Yar,RU,2021-07-09 21:46:48,53.6039,91.3903,53.49,87,0,2.24,clear sky
200,Iquitos,PE,2021-07-09 21:46:49,-3.7481,-73.2472,75.24,88,75,2.3,broken clouds
201,Cockburn Town,TC,2021-07-09 21:46:30,21.4612,-71.1419,80.51,85,9,18.25,clear sky
202,Carutapera,BR,2021-07-09 21:46:49,-1.195,-46.02,76.75,85,55,7.65,broken clouds
203,Salvador,SV,2021-07-09 21:46:50,13.8333,-88.9167,87.84,61,99,2.17,overcast clouds
204,Cherskiy,RU,2021-07-09 21:46:50,68.75,161.3,84.92,33,32,18.59,scattered clouds
205,Grand-Santi,GF,2021-07-09 21:46:50,4.25,-54.3833,74.68,96,68,3.15,light rain
206,Shimoda,JP,2021-07-09 21:46:51,34.6667,138.95,82.11,92,100,17.29,overcast clouds
207,Troy,US,2021-07-09 21:42:19,42.6056,-83.1499,78.51,51,1,3.0,clear sky
208,Waw,SS,2021-07-09 21:46:51,7.7029,27.9953,73.18,73,11,2.24,few clouds
209,Salinopolis,BR,2021-07-09 21:46:51,-0.6136,-47.3561,78.44,83,54,11.21,broken clouds
210,Saint-Philippe,RE,2021-07-09 21:46:52,-21.3585,55.7679,71.19,80,67,16.69,broken clouds
211,Hualmay,PE,2021-07-09 21:46:52,-11.0964,-77.6139,65.68,76,6,12.08,clear sky
212,Auki,SB,2021-07-09 21:46:52,-8.7676,160.7034,81.16,77,14,5.46,few clouds
213,Lamu,KE,2021-07-09 21:46:53,-2.2717,40.902,75.42,84,65,15.66,broken clouds
214,Thunder Bay,CA,2021-07-09 21:46:37,48.4001,-89.3168,80.51,30,75,12.66,broken clouds
215,Nelson Bay,AU,2021-07-09 21:46:53,-32.7167,152.15,55.99,90,100,4.0,moderate rain
216,Vila Franca Do Campo,PT,2021-07-09 21:46:53,37.7167,-25.4333,72.01,89,46,6.93,scattered clouds
217,Mayya,RU,2021-07-09 21:46:54,61.7333,130.2811,61.92,85,99,8.59,overcast clouds
218,Northam,GB,2021-07-09 21:46:54,51.0333,-4.2167,58.66,92,100,6.78,overcast clouds
219,Clyde River,CA,2021-07-09 21:46:54,70.4692,-68.5914,35.83,93,75,13.8,broken clouds
220,Talnakh,RU,2021-07-09 21:46:55,69.4865,88.3972,52.97,84,100,19.19,moderate rain
221,Nouadhibou,MR,2021-07-09 21:46:55,20.931,-17.0347,67.98,83,0,25.32,sand
222,Khovu-Aksy,RU,2021-07-09 21:46:55,51.1333,93.6,53.42,72,91,1.52,heavy intensity rain
223,Saquisili,EC,2021-07-09 21:46:56,-0.8333,-78.6667,57.15,77,75,18.41,light rain
224,Alice Springs,AU,2021-07-09 21:42:44,-23.7,133.8833,42.35,61,61,5.75,broken clouds
225,Esperance,AU,2021-07-09 21:46:56,-33.8667,121.9,51.64,81,98,19.75,overcast clouds
226,Pedasi,PA,2021-07-09 21:46:57,7.5333,-80.0333,78.62,84,100,11.95,overcast clouds
227,Provideniya,RU,2021-07-09 21:46:57,64.3833,-173.3,51.48,68,97,4.54,overcast clouds
228,New London,US,2021-07-09 21:42:12,41.4834,-72.0662,83.75,74,20,3.0,few clouds
229,Kamenka,RU,2021-07-09 21:46:57,51.3223,42.7678,66.49,75,0,7.14,clear sky
230,Avera,US,2021-07-09 21:46:58,33.194,-82.5271,90.28,60,74,8.93,broken clouds
231,Petropavlovsk-Kamchatskiy,RU,2021-07-09 21:42:36,53.0452,158.6483,59.59,77,20,8.95,few clouds
232,Teknaf,BD,2021-07-09 21:46:58,20.8624,92.3058,78.87,93,99,7.05,moderate rain
233,Padang,ID,2021-07-09 21:46:58,-0.9492,100.3543,75.25,89,98,4.63,light rain
234,Deputatskiy,RU,2021-07-09 21:46:59,69.3,139.9,38.57,91,100,7.9,light rain
235,Qinhuangdao,CN,2021-07-09 21:46:59,39.9317,119.5883,73.69,85,2,1.5,clear sky
236,Atar,MR,2021-07-09 21:46:59,20.5169,-13.0499,91.08,16,0,10.02,clear sky
237,Kiunga,PG,2021-07-09 21:47:00,-6.1219,141.2906,73.96,99,96,1.81,overcast clouds
238,Kupino,RU,2021-07-09 21:47:00,54.3663,77.2981,59.29,87,57,5.46,broken clouds
239,Port-Cartier,CA,2021-07-09 21:47:00,50.0334,-66.8654,55.92,86,100,3.42,overcast clouds
240,Meulaboh,ID,2021-07-09 21:47:01,4.1363,96.1285,75.92,92,100,7.18,overcast clouds
241,Kampong Cham,KH,2021-07-09 21:47:01,11.9934,105.4635,75.72,92,100,8.43,overcast clouds
242,Payo,ID,2021-07-09 21:47:01,-3.7508,103.6372,72.0,94,71,1.72,broken clouds
243,Northport,US,2021-07-09 21:47:02,33.229,-87.5772,88.9,70,82,1.99,broken clouds
244,Knysna,ZA,2021-07-09 21:47:02,-34.0363,23.0471,43.18,64,0,3.65,clear sky
245,Olga,RU,2021-07-09 21:47:03,43.7444,135.2892,65.39,87,100,1.54,overcast clouds
246,Algiers,DZ,2021-07-09 21:44:00,36.7525,3.042,75.02,78,40,8.05,scattered clouds
247,Aden,YE,2021-07-09 21:47:03,12.7794,45.0367,87.01,75,92,10.49,overcast clouds
248,Norwich,GB,2021-07-09 21:47:03,52.6278,1.2983,64.47,95,75,3.44,light intensity drizzle
249,Kahului,US,2021-07-09 21:47:04,20.8947,-156.47,87.82,63,20,19.57,few clouds
250,Shiyan,CN,2021-07-09 21:47:04,32.6475,110.7781,77.2,89,100,1.74,light rain
251,Beringovskiy,RU,2021-07-09 21:47:04,63.05,179.3167,42.42,88,80,4.65,broken clouds
252,Ballina,AU,2021-07-09 21:47:05,-28.8667,153.5667,57.78,71,0,13.8,clear sky
253,Posadas,AR,2021-07-09 21:47:05,-27.3671,-55.8961,71.58,60,0,4.61,clear sky
254,Kawalu,ID,2021-07-09 21:47:06,-7.3817,108.2082,71.11,97,75,1.59,broken clouds
255,Zavyalovo,RU,2021-07-09 21:47:06,54.5053,82.4484,56.25,92,32,3.27,scattered clouds
256,Kaina,NG,2021-07-09 21:47:06,12.6374,8.5873,85.84,50,43,2.62,light rain
257,Lethem,GY,2021-07-09 21:47:07,3.3803,-59.7968,79.34,83,73,6.22,broken clouds
258,Khasan,RU,2021-07-09 21:47:07,42.4308,130.6434,65.37,96,100,3.13,overcast clouds
259,Taos,US,2021-07-09 21:47:07,36.4072,-105.5731,88.2,26,1,1.99,clear sky
260,Norman Wells,CA,2021-07-09 21:47:08,65.282,-126.8329,69.84,52,40,17.27,shower rain
261,Saint-Francois,FR,2021-07-09 21:47:08,46.4154,3.9054,62.19,86,0,1.14,clear sky
