City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Trat,TH,12.5,102.5,79.79,99,100,1.81,overcast clouds
327,Batagay-Alyta,RU,67.8006,130.4114,40.48,75,99,10.36,overcast clouds
328,Juba,SS,4.8517,31.5825,71.38,76,73,3.65,broken clouds
329,Pangnirtung,CA,66.1451,-65.7125,43.97,70,98,3.78,overcast clouds
330,Lexington Park,US,38.2668,-76.4538,88.83,100,43,8.32,scattered clouds
331,Narsaq,GL,60.9167,-46.05,46.67,87,62,2.13,broken clouds
332,Bathsheba,BB,13.2167,-59.5167,80.26,78,100,15.46,overcast clouds
333,Tabou,CI,4.423,-7.3528,77.68,78,91,10.71,overcast clouds
334,Aquiraz,BR,-3.9014,-38.3911,80.69,85,42,11.39,scattered clouds
335,Bacolod,PH,10.6667,122.95,78.35,85,100,1.12,moderate rain
336,Morant Bay,JM,17.8815,-76.4093,88.63,75,12,12.08,few clouds
337,Guerrero Negro,MX,27.9769,-114.0611,80.49,50,3,15.01,clear sky
338,Buala,SB,-8.145,159.5921,82.72,76,33,7.99,light rain
339,Cidreira,BR,-30.1811,-50.2056,60.57,94,0,12.93,clear sky
340,Dzilam Gonzalez,MX,21.2833,-88.9333,97.07,34,60,9.44,broken clouds
341,Puerto Penasco,MX,31.3167,-113.5333,87.91,76,9,11.99,clear sky
342,Antigonish,CA,45.6169,-61.9986,73.58,96,100,5.99,overcast clouds
343,Sisimiut,GL,66.9395,-53.6735,47.89,58,18,3.91,few clouds
344,Irbit,RU,57.6705,63.071,65.48,72,62,5.95,broken clouds
345,Houston,US,29.7633,-95.3633,79.38,88,1,1.01,clear sky
346,Kieta,PG,-6.2167,155.6333,82.06,72,79,4.65,broken clouds
347,Fonte Boa,BR,-2.4959,-66.2662,77.09,92,38,1.1,scattered clouds
