City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Hualmay,PE,2021-07-07 22:49:49,-11.0964,-77.6139,63.73,77,12,7.52
89,Biltine,TD,2021-07-07 22:49:49,14.5333,20.9167,82.8,50,100,7.18
90,San Cristobal,VE,2021-07-07 22:49:50,7.7669,-72.225,82.58,74,37,4.21
91,Arraial Do Cabo,BR,2021-07-07 22:48:12,-22.9661,-42.0278,67.96,83,0,5.75
92,Umm Lajj,SA,2021-07-07 22:49:50,25.0213,37.2685,87.22,40,0,8.66
93,Port Elizabeth,ZA,2021-07-07 22:48:06,-33.918,25.5701,57.49,94,0,5.75
94,Ilkal,IN,2021-07-07 22:49:51,15.9667,76.1333,73.62,83,100,11.1
95,Naze,JP,2021-07-07 22:49:51,28.3667,129.4833,79.72,86,78,13.15
96,Chuy,UY,2021-07-07 22:49:51,-33.6971,-53.4616,56.35,85,62,5.01
97,Ixtapa,MX,2021-07-07 22:49:52,20.7,-105.2,87.22,79,92,5.99
98,La Ronge,CA,2021-07-07 22:49:52,55.1001,-105.2842,75.45,53,75,5.75
99,Aklavik,CA,2021-07-07 22:49:52,68.2191,-135.0107,65.23,72,90,5.75
100,Santa Marinella,IT,2021-07-07 22:49:56,42.0345,11.8536,81.41,53,63,4.52
101,Ariquemes,BR,2021-07-07 22:49:56,-9.9133,-63.0408,79.7,48,14,1.63
102,Yellowknife,CA,2021-07-07 22:46:34,62.456,-114.3525,79.29,56,75,11.5
103,Ribeira Grande,PT,2021-07-07 22:49:57,38.5167,-28.7,70.29,80,2,5.37
104,Banda Aceh,ID,2021-07-07 22:49:57,5.5577,95.3222,79.0,78,95,9.06
105,Thompson,CA,2021-07-07 22:45:07,55.7435,-97.8558,69.96,37,75,11.5
106,Saskylakh,RU,2021-07-07 22:49:58,71.9167,114.0833,54.54,46,79,4.38
107,Greenville,US,2021-07-07 22:49:23,35.6127,-77.3663,87.84,86,1,9.22
108,Hithadhoo,MV,2021-07-07 22:49:58,-0.6,73.0833,83.7,74,96,17.58
109,Lebu,CL,2021-07-07 22:49:59,-37.6167,-73.65,51.8,91,100,8.59
110,Kodiak,US,2021-07-07 22:49:59,57.79,-152.4072,53.11,76,90,4.61
111,Victoria,HK,2021-07-07 22:45:07,22.2855,114.1577,86.97,87,22,8.99
112,Lagoa,PT,2021-07-07 22:49:59,39.05,-27.9833,69.58,78,3,3.36
113,Georgetown,MY,2021-07-07 22:50:00,5.4112,100.3354,79.95,89,20,1.99
114,Malanje,AO,2021-07-07 22:50:00,-9.5402,16.341,62.85,26,70,1.74
115,San Jose,US,2021-07-07 22:45:56,37.3394,-121.895,88.09,61,20,14.97
116,Prachuap Khiri Khan,TH,2021-07-07 22:50:01,12.2167,99.75,80.69,80,100,6.24
117,Antalya,TR,2021-07-07 22:50:01,36.7741,30.7178,85.01,83,0,1.14
118,Bubaque,GW,2021-07-07 22:50:01,11.2833,-15.8333,80.46,82,65,14.52
119,Ambulu,ID,2021-07-07 22:50:02,-8.345,113.6058,72.93,88,97,1.9
120,Longyearbyen,SJ,2021-07-07 22:50:02,78.2186,15.6401,43.93,73,99,2.95
121,College,US,2021-07-07 22:50:03,64.8569,-147.8028,61.0,69,75,6.91
122,Sao Filipe,CV,2021-07-07 22:50:04,14.8961,-24.4956,76.12,82,5,9.26
123,Halifax,CA,2021-07-07 22:47:59,44.6453,-63.5724,78.69,55,44,3.44
124,Alice Town,BS,2021-07-07 22:50:04,25.7167,-79.3,81.64,77,100,7.36
125,Nabire,ID,2021-07-07 22:50:04,-3.3667,135.4833,76.35,91,96,3.2
126,Zaysan,KZ,2021-07-07 22:50:05,47.4667,84.8667,65.95,69,25,7.02
127,Qasigiannguit,GL,2021-07-07 22:50:05,68.8193,-51.1922,33.98,99,100,5.99
128,Milkovo,RU,2021-07-07 22:50:05,54.7167,158.6167,70.39,65,27,1.86
129,Udachnyy,RU,2021-07-07 22:50:06,66.4167,112.4,56.7,97,100,10.78
130,Adre,TD,2021-07-07 22:50:06,13.4667,22.2,75.88,64,96,8.52
131,Inhambane,MZ,2021-07-07 22:50:07,-23.865,35.3833,63.57,70,0,6.73
132,Velyka Oleksandrivka,UA,2021-07-07 22:50:07,47.3197,33.3037,67.75,83,89,8.25
133,Rexburg,US,2021-07-07 22:50:07,43.826,-111.7897,98.11,18,1,12.66
134,Mahebourg,MU,2021-07-07 22:50:07,-20.4081,57.7,73.26,83,75,14.97
135,Guerrero Negro,MX,2021-07-07 22:50:08,27.9769,-114.0611,73.22,60,25,17.43
136,Avarua,CK,2021-07-07 22:50:08,-21.2078,-159.775,73.45,64,75,10.36
137,Kiama,AU,2021-07-07 22:46:10,-34.6833,150.8667,43.45,73,91,1.61
138,Ahipara,NZ,2021-07-07 22:50:09,-35.1667,173.1667,54.9,63,94,15.57
139,Tilichiki,RU,2021-07-07 22:50:09,60.4667,166.1,61.43,69,68,4.76
140,Pevek,RU,2021-07-07 22:50:09,69.7008,170.3133,44.06,69,100,16.49
141,Krasnogorodsk,RU,2021-07-07 22:50:10,56.8357,28.2822,65.21,83,38,5.35
142,Lishui,CN,2021-07-07 22:50:10,28.4604,119.9103,81.45,88,95,2.13
143,Atuona,PF,2021-07-07 22:50:10,-9.8,-139.0333,78.55,80,35,23.35
144,Safford,US,2021-07-07 22:46:41,32.834,-109.7076,101.32,23,90,16.17
145,Ulagan,RU,2021-07-07 22:50:11,50.6321,87.9563,55.96,96,50,1.12
146,Tabas,IR,2021-07-07 22:50:11,33.5959,56.9244,93.63,10,0,4.7
147,Kidal,ML,2021-07-07 22:50:11,18.4411,1.4078,97.5,9,46,5.99
148,Mikuni,JP,2021-07-07 22:50:11,36.2171,136.1519,73.31,94,100,3.74
149,Bria,CF,2021-07-07 22:50:12,6.5423,21.9863,68.11,98,100,1.68
150,Matadi,CD,2021-07-07 22:50:12,-5.8167,13.45,70.09,92,24,2.64
