City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Bhusawal,IN,81.79,overcast clouds,21.05,75.7667,Ganesh Park (Udita Construction)
495,Fier,AL,76.08,clear sky,40.7239,19.5561,Hotel Fieri
496,Zheleznodorozhnyy,RU,76.35,scattered clouds,55.7503,38.0042,Hotel Dali
502,Labuhan,ID,76.69,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
503,Mandera,KE,79.18,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
508,Mahibadhoo,MV,79.57,heavy intensity rain,3.7833,72.9667,Omadhoo Inn
511,Kousseri,CM,82.47,scattered clouds,12.0769,15.0306,Le Pilotis
516,Kavaratti,IN,80.91,very heavy rain,10.5669,72.642,Hotels in Lakshadweep Islands
518,Catuday,PH,79.7,scattered clouds,16.2923,119.8062,GResort
524,Wanning,CN,78.08,scattered clouds,18.8003,110.3967,Paradise Hotel
529,Nago,JP,82.47,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
530,Areia Branca,BR,80.62,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
531,Sabratah,LY,82.24,clear sky,32.7933,12.4885,M.Shegwara
534,Piripiri,BR,84.22,overcast clouds,-4.2733,-41.7769,Califórnia Hotel
535,Houma,US,88.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
536,Asind,IN,81.66,overcast clouds,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
537,Troy,US,77.83,clear sky,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
542,Cienaga,CO,86.05,overcast clouds,11.007,-74.2476,The Journey Hostel
548,Myitkyina,MM,75.81,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
551,Salalah,OM,77.72,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
554,Caimito,CO,83.95,overcast clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
556,Qurayyat,SA,80.4,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
561,Santa Cruz,BO,83.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
567,Kimbe,PG,78.37,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
568,Lucea,JM,85.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
572,Bucerias,MX,86.99,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
573,Awbari,LY,86.7,clear sky,26.5921,12.7805,فندق أوباري
574,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
576,Ayios Mamas,GR,82.33,clear sky,40.2667,23.3333,Platanos Apartment
580,Touros,BR,76.73,few clouds,-5.1989,-35.4608,INN NEW HORIZON
586,Katsuura,JP,80.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
589,Pasni,PK,81.66,broken clouds,25.2631,63.471,Kashmiri Hotal
